Categoria,Esposizione,Nome,Specie,Chioma
Conifere nane – a fogliame azzurro,mezz’ombra,Abies lasiocarpa compacta,abete,piramidale
Conifere nane – a fogliame azzurro,mezz’ombra,Chamaecyparis lawsoniana “minima glauca”,falso cipresso,globosa
Conifere nane – a fogliame azzurro,mezz’ombra,Chamaecyparis pisifera “nana”,falso cipresso,a cespuglio
Conifere nane – a fogliame azzurro,mezz’ombra,Juniperus procumbens,ginepro,prostrata
Conifere nane – a fogliame azzurro,mezz’ombra,Juniperus squamata “blue star”,ginepro,a cespuglio
Conifere nane – a fogliame azzurro,mezz’ombra,Picea mariana “nana”,abete,a cespuglio
Conifere nane – a fogliame azzurro,mezz’ombra,Picea pungens “globosa”,abete,a cespuglio
Conifere nane – a fogliame azzurro,soleggiata,Pinus strobus “nana”,pino,a cespuglio
Conifere nane – a fogliame azzurro,soleggiata,Pseudotsuga menziesii “fletcherii”,pseudotsuga,a cespuglio
Conifere nane – a fogliame dorato,mezz’ombra,Chamaecyparis lawsoniana “minima aurea”,falso cipresso,globosa
Conifere nane – a fogliame dorato,mezz’ombra,Chamaecyparis obtusa “nana aurea”,falso cipresso,a cespuglio
Conifere nane – a fogliame dorato,mezz’ombra,Chamaecyparis pisifera “piumosa nana”,falso cipresso,piramidale
Conifere nane – a fogliame dorato,soleggiata,Juniperus chinensis “japonica”,ginepro,a cespuglio
Conifere nane – a fogliame dorato,mezz’ombra,Taxus baccata “adpressa variegata”,tasso,a cespuglio
Conifere nane – a fogliame dorato,mezz’ombra,Thuja orientalis “aurea nana”,tuia,globosa
Conifere nane – a fogliame grigio-argento,mezz’ombra,Abies lasiocarpa “compacta”,abete,piramidale
Conifere nane – a fogliame grigio-argento,mezz’ombra,Chamaecyparis lawsoniana “forsteckensis”,falso cipresso,a cespuglio
Conifere nane – a fogliame grigio-argento,mezz’ombra,Chamaecyparis thyoides “ericoides”,falso cipresso,ovoidale
Conifere nane – a fogliame grigio-argento,mezz’ombra,Juniperus sabina “arcadia”,ginepro,prostrata
