Categoria,Esposizione,Nome,Dimensioni (cm),Terreno,Caratteristiche,Utilizzazione,Fioritura (mesi)
Perenni bianche – basse (fino a cm 30),soleggiata,Achillea ageratifolia (composita),"altezza 10, diametro 30","sciolto","foglie ovali argentee; capolini a mazzetti","bordura, tappezzante","VII-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Achillea moschata (composita),"altezza 15, diametro 30","sciolto","foglie suddivise; margherittine a mazzetti","bordura, tappezzante","VI-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Achillea umbellata (composita),"altezza 10, diametro 20","sciolto, calcareo","foglie vellutate, argentee; capolini a mazzetti","bordura, tappezzante","VI-VIII"
Perenni bianche – basse (fino a cm 30),soleggiata,Ajuga reptans (labiata),"altezza 10, diametro 30","medio impasto","foglie ovali, dentate, lucide; fiori in spighe","tappezzante","IV-VII"
Perenni bianche – basse (fino a cm 30),soleggiata,Alisso maritimum (crucifera semirustica),"altezza 10-15, diametro 30","fertile, sabbioso","foglie lineari, grigiastre; fiori a mazzetti tondi","bordura, tappezzante","VI-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Arabide albida (crucifera),"altezza 30-60, diametro 30","sciolto","foglie ovali, dentate, biancastre; fiori a mazzetti radi","bordura, tappezzante","IV-V"
Perenni bianche – basse (fino a cm 30),soleggiata,Arabide alpina (crucifera),"altezza 10-15, diametro 20-40","sciolto","foglie ovali, pelose; fiori a mazzetti densi","bordura, tappezzante","IV-VI"
Perenni bianche – basse (fino a cm 30),soleggiata,Bellis o Pratolina (composita),"altezza 10, diametro 15","medio impasto","foglie ovali; margherite semplici o doppie, sfumate di rosa","bordura, tappezzante","IV-VI"
